,extractor,reliable_positive_threshold,algorithn,prior,balanced_accuracy,accuracy,f1
159,clip-ViT-B-32,6.307692,nnpu,0.7,0.7090497580583239,0.7714856370792458,0.8420240415854451
160,clip-ViT-B-32,6.307692,nnpu,0.8,0.673739314451705,0.7725038673167675,0.8501483296788341
161,clip-ViT-B-32,6.307692,nnpu,0.9,0.5697431786227671,0.7424660753098749,0.8439635535307517
162,clip-ViT-B-32,6.574194,probtag,0.1,0.5,0.28992147878360647,0.0
163,clip-ViT-B-32,6.574194,probtag,0.2,0.5,0.28992147878360647,0.0
164,clip-ViT-B-32,6.574194,probtag,0.3,0.5,0.28992147878360647,0.0
165,clip-ViT-B-32,6.574194,probtag,0.4,0.5,0.28992147878360647,0.0
166,clip-ViT-B-32,6.574194,probtag,0.5,0.5,0.28992147878360647,0.0
167,clip-ViT-B-32,6.574194,probtag,0.6,0.5,0.28992147878360647,0.0
168,clip-ViT-B-32,6.574194,probtag,0.7,0.5,0.28992147878360647,0.0
169,clip-ViT-B-32,6.574194,probtag,0.8,0.5,0.28992147878360647,0.0
170,clip-ViT-B-32,6.574194,probtag,0.9,0.5,0.28992147878360647,0.0
171,clip-ViT-B-32,6.574194,nnpu,0.1,0.5006756197777349,0.29088096496896354,0.0026988323419255343
172,clip-ViT-B-32,6.574194,nnpu,0.2,0.5028755313986734,0.2940335624351368,0.011569568197395477
173,clip-ViT-B-32,6.574194,nnpu,0.3,0.5136496857951856,0.309561573557344,0.05428602081321747
174,clip-ViT-B-32,6.574194,nnpu,0.4,0.5637715416046897,0.38389238089643424,0.23819669749648928
175,clip-ViT-B-32,6.574194,nnpu,0.5,0.5465564806471152,0.3580254165932366,0.17792933978586292
176,clip-ViT-B-32,6.574194,nnpu,0.6,0.6388508680313629,0.5032015508429771,0.4746008407711901
177,clip-ViT-B-32,6.574194,nnpu,0.7,0.6366218239661771,0.5013413225244278,0.4726007538416932
178,clip-ViT-B-32,6.574194,nnpu,0.8,0.6886036200653362,0.6014411874131077,0.6316018099547511
179,clip-ViT-B-32,6.574194,nnpu,0.9,0.6998595824196063,0.6246059253167283,0.6633063453871687
180,clip-ViT-B-32,7.069421,probtag,0.1,0.5,0.28992147878360647,0.0
181,clip-ViT-B-32,7.069421,probtag,0.2,0.5,0.28992147878360647,0.0
182,clip-ViT-B-32,7.069421,probtag,0.3,0.5,0.28992147878360647,0.0
183,clip-ViT-B-32,7.069421,probtag,0.4,0.5,0.28992147878360647,0.0
184,clip-ViT-B-32,7.069421,probtag,0.5,0.5,0.28992147878360647,0.0
185,clip-ViT-B-32,7.069421,probtag,0.6,0.5,0.28992147878360647,0.0
186,clip-ViT-B-32,7.069421,probtag,0.7,0.5,0.28992147878360647,0.0
187,clip-ViT-B-32,7.069421,probtag,0.8,0.5,0.28992147878360647,0.0
188,clip-ViT-B-32,7.069421,probtag,0.9,0.5,0.28992147878360647,0.0
189,clip-ViT-B-32,7.069421,nnpu,0.1,0.5,0.28992147878360647,0.0
190,clip-ViT-B-32,7.069421,nnpu,0.2,0.5001516697460221,0.2901368736415438,0.0006064950102001433
191,clip-ViT-B-32,7.069421,nnpu,0.3,0.5002343986983978,0.2902543617458732,0.0009371554575523704
192,clip-ViT-B-32,7.069421,nnpu,0.4,0.5001240934285636,0.2900977109401007,0.0004962505513895015
193,clip-ViT-B-32,7.069421,nnpu,0.5,0.5013926040316576,0.29189919520648533,0.005554944450555494
194,clip-ViT-B-32,7.069421,nnpu,0.6,0.5006204671428177,0.29080263956607727,0.0024787925526054866
195,clip-ViT-B-32,7.069421,nnpu,0.7,0.5037028209224303,0.2952084434784311,0.014835089640071165
196,clip-ViT-B-32,7.069421,nnpu,0.8,0.504522516063205,0.29634416182028234,0.01792790576917821
197,clip-ViT-B-32,7.069421,nnpu,0.9,0.5059379032438097,0.29843936634749063,0.0238666085440279
198,clip-ViT-B-16,5.386517,probtag,0.1,0.5078972223906034,0.3012786622021187,0.03174775459257048
199,clip-ViT-B-16,5.386517,probtag,0.2,0.5055518347993898,0.29789108852728663,0.022357945250299927
200,clip-ViT-B-16,5.386517,probtag,0.3,0.5040964837498326,0.29579588400007834,0.01651762518117428
201,clip-ViT-B-16,5.386517,probtag,0.4,0.5031788708907176,0.29446435215101135,0.012768172726525468
202,clip-ViT-B-16,5.386517,probtag,0.5,0.5023577751427074,0.2932698897569954,0.009386836471427788
203,clip-ViT-B-16,5.386517,probtag,0.6,0.5016959435237018,0.29232998492235995,0.0067608420821194965
204,clip-ViT-B-16,5.386517,probtag,0.7,0.5012133579681769,0.2916446376471049,0.004841682484663421
205,clip-ViT-B-16,5.386517,probtag,0.8,0.5008135013650277,0.2910767784761793,0.0032487197841528552
206,clip-ViT-B-16,5.386517,probtag,0.9,0.5004550092380663,0.2905676633574184,0.0018183821908750277
207,clip-ViT-B-16,5.386517,nnpu,0.1,0.5,0.28992147878360647,0.0
208,clip-ViT-B-16,5.386517,nnpu,0.2,0.5020682238093925,0.2928586813918424,0.008238815807541261
209,clip-ViT-B-16,5.386517,nnpu,0.3,0.5664913569551877,0.3862225616323014,0.2412799845085082
210,clip-ViT-B-16,5.386517,nnpu,0.4,0.7006191743748893,0.6019894652333118,0.6243855564179325
211,clip-ViT-B-16,5.386517,nnpu,0.5,0.7551909987040695,0.7324991677925944,0.7882507943889018
212,clip-ViT-B-16,5.386517,nnpu,0.6,0.7420304712608639,0.7881297851925826,0.850951869300493
213,clip-ViT-B-16,5.386517,nnpu,0.7,0.7048184761058771,0.79320135502947,0.8627282771170467
214,clip-ViT-B-16,5.386517,nnpu,0.8,0.6153559610322608,0.7681959701580215,0.8571152685576342
215,clip-ViT-B-16,5.386517,nnpu,0.9,0.5145878710043269,0.7182243631165678,0.8343349220602795
216,clip-ViT-B-16,5.475771,probtag,0.1,0.5056759282279534,0.2980673206837808,0.022843123892599154
217,clip-ViT-B-16,5.475771,probtag,0.2,0.5042205771783962,0.2959721161565725,0.017005686789151354
218,clip-ViT-B-16,5.475771,probtag,0.3,0.5033305406367397,0.29467974700894867,0.013366933274898652
219,clip-ViT-B-16,5.475771,probtag,0.4,0.5024067340018777,0.2933677965106033,0.009714332757059359
220,clip-ViT-B-16,5.475771,probtag,0.5,0.5017449023828721,0.29242789167596783,0.0070892754101063386
221,clip-ViT-B-16,5.475771,probtag,0.6,0.5012822987618234,0.2917425444007128,0.005116074375618879
222,clip-ViT-B-16,5.475771,probtag,0.7,0.5008686539999448,0.29115510387906557,0.0034685899906403126
223,clip-ViT-B-16,5.475771,probtag,0.8,0.500537738190442,0.29068515146174784,0.0021486419481020333
224,clip-ViT-B-16,5.475771,probtag,0.9,0.5003171276507735,0.29037184985020265,0.0012677065534917047
225,clip-ViT-B-16,5.475771,nnpu,0.1,0.5,0.28992147878360647,0.0
226,clip-ViT-B-16,5.475771,nnpu,0.2,0.5035925156525961,0.2950517926726586,0.014400306622498424
227,clip-ViT-B-16,5.475771,nnpu,0.3,0.5743246496342819,0.3979713720652451,0.2672259694449079
228,clip-ViT-B-16,5.475771,nnpu,0.4,0.6782595424218396,0.5628855078423309,0.567375336731332
229,clip-ViT-B-16,5.475771,nnpu,0.5,0.7421064700347215,0.6899097299731736,0.738886690410236
230,clip-ViT-B-16,5.475771,nnpu,0.6,0.7478644790617022,0.7718968454443987,0.8336736296528977
231,clip-ViT-B-16,5.475771,nnpu,0.7,0.6702595951755622,0.7829994713035305,0.8599944412158576
232,clip-ViT-B-16,5.475771,nnpu,0.8,0.5779390404623845,0.750983962873759,0.8495083014804208
233,clip-ViT-B-16,5.475771,nnpu,0.9,0.51613230030156,0.7190271984961523,0.8346984620701573
234,clip-ViT-B-16,5.566116,probtag,0.1,0.5032064472081761,0.2945035148524545,0.01287706512507192
235,clip-ViT-B-16,5.566116,probtag,0.2,0.5023026225077903,0.29319156435410915,0.00916826791106231
236,clip-ViT-B-16,5.566116,probtag,0.3,0.5017648843173482,0.29242789167596783,0.007034706383446458
237,clip-ViT-B-16,5.566116,probtag,0.4,0.5013926040316576,0.29189919520648533,0.005554944450555494
238,clip-ViT-B-16,5.566116,probtag,0.5,0.5009789592697791,0.29131175468483816,0.0039081851709142955
239,clip-ViT-B-16,5.566116,probtag,0.6,0.5007997132062985,0.2910571971254577,0.0031937446656204395
240,clip-ViT-B-16,5.566116,probtag,0.7,0.5005791026666299,0.29074389551391255,0.0023137308910618376
241,clip-ViT-B-16,5.566116,probtag,0.8,0.5003584921269614,0.29043059390236736,0.001432941111631624
242,clip-ViT-B-16,5.566116,probtag,0.9,0.5001516697460221,0.2901368736415438,0.0006064950102001433
243,clip-ViT-B-16,5.566116,nnpu,0.1,0.5,0.28992147878360647,0.0
244,clip-ViT-B-16,5.566116,nnpu,0.2,0.5040261423489507,0.29563923319430574,0.015975926685815895
245,clip-ViT-B-16,5.566116,nnpu,0.3,0.5668230820251212,0.3870058156611643,0.24338368580060424
246,clip-ViT-B-16,5.566116,nnpu,0.4,0.6890353777332855,0.5809982572597858,0.5941352755965251
247,clip-ViT-B-16,5.566116,nnpu,0.5,0.7469066806949898,0.7197125457714073,0.775607461984637
248,clip-ViT-B-16,5.566116,nnpu,0.6,0.7399110163305627,0.7827644950948717,0.8462455303933254
249,clip-ViT-B-16,5.566116,nnpu,0.7,0.6619813163539308,0.7841547709961033,0.8624240230645384
250,clip-ViT-B-16,5.566116,nnpu,0.8,0.5918572675510978,0.757582878066929,0.8524644866050148
251,clip-ViT-B-16,5.566116,nnpu,0.9,0.5091488940442079,0.7152675791576103,0.8329523131182005
252,clip-ViT-B-16,5.660284,probtag,0.1,0.5016759615892257,0.29232998492235995,0.006815433659448171
