,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
107,clip-ViT-B-16,5.566116,kneighbours,knn,0.5879481187440327,0.7048111378722904,0.806455340291954
108,clip-ViT-B-16,5.566116,qda,k-means,0.5615457811439668,0.5916896747537645,0.6877601748974275
109,clip-ViT-B-16,5.566116,qda,knn,0.5602618377861475,0.6574046877753628,0.7664023071377073
110,clip-ViT-B-16,5.566116,naivebayes,k-means,0.5505613810738306,0.5813115588713309,0.6790453317322125
111,clip-ViT-B-16,5.566116,naivebayes,knn,0.5939282525310043,0.6402318431925434,0.7354156766175604
112,clip-ViT-B-16,5.660284,logistic,k-means,0.5600092283999236,0.6185944506452055,0.7225593254137823
113,clip-ViT-B-16,5.660284,logistic,knn,0.6866652280766516,0.7536861892733361,0.8298962798685581
114,clip-ViT-B-16,5.660284,kneighbours,k-means,0.5249350152699155,0.5582838904227614,0.6601994396408882
115,clip-ViT-B-16,5.660284,kneighbours,knn,0.603297263549831,0.7054964851475455,0.8032340781830553
116,clip-ViT-B-16,5.660284,qda,k-means,0.4861567994551221,0.5057667077875032,0.604908897376495
117,clip-ViT-B-16,5.660284,qda,knn,0.5698954024654017,0.6597348685112299,0.7658622687524422
118,clip-ViT-B-16,5.660284,naivebayes,k-means,0.48029275868663407,0.5514695803716541,0.6728929254848199
119,clip-ViT-B-16,5.660284,naivebayes,knn,0.5977069232265226,0.6366876187119388,0.7296596339899755
120,clip-ViT-B-16,5.758871,logistic,k-means,0.5614924658747914,0.6053770389081439,0.7055850170194737
121,clip-ViT-B-16,5.758871,logistic,knn,0.6862419653150869,0.745990718439758,0.8224375821287779
122,clip-ViT-B-16,5.758871,kneighbours,k-means,0.5192849815132323,0.5350212457655329,0.6296862329237104
123,clip-ViT-B-16,5.758871,kneighbours,knn,0.5949426665339418,0.6945113473927431,0.7945533797753401
124,clip-ViT-B-16,5.758871,qda,k-means,0.4811003726587476,0.48700777379623644,0.5781999677990661
125,clip-ViT-B-16,5.758871,qda,knn,0.5724827514753321,0.6562298067320684,0.7612468041124952
126,clip-ViT-B-16,5.758871,naivebayes,k-means,0.5152068313768607,0.5463980105347667,0.6485625426685883
127,clip-ViT-B-16,5.758871,naivebayes,knn,0.60706746355159,0.6367855254655466,0.72604014355975
128,clip-ViT-B-16,5.865385,logistic,k-means,0.5993248378408792,0.6422487223168655,0.7357764729702369
129,clip-ViT-B-16,5.865385,logistic,knn,0.6913490300230554,0.7422898431533808,0.8174491989735764
130,clip-ViT-B-16,5.865385,kneighbours,k-means,0.5236044123210539,0.5706397227280737,0.6776436688669676
131,clip-ViT-B-16,5.865385,kneighbours,knn,0.599811130721806,0.690301356987605,0.7889455283033975
132,clip-ViT-B-16,5.865385,qda,k-means,0.49584704123341883,0.4995790009594862,0.5888806666452173
133,clip-ViT-B-16,5.865385,qda,knn,0.5735032614722612,0.6509820047386868,0.755137927244752
134,clip-ViT-B-16,5.865385,naivebayes,k-means,0.532251918775106,0.5369206367855255,0.6249583709976687
135,clip-ViT-B-16,5.865385,naivebayes,knn,0.6066802738763778,0.626133270673011,0.7126755052595145
136,clip-ViT-B-16,5.987416,logistic,k-means,0.6089379530957422,0.6361785035931778,0.7245203570263617
137,clip-ViT-B-16,5.987416,logistic,knn,0.6970725155716886,0.7379036205917484,0.8114496612151179
138,clip-ViT-B-16,5.987416,kneighbours,k-means,0.5369795148414992,0.5516653938788698,0.6443395054057413
139,clip-ViT-B-16,5.987416,kneighbours,knn,0.5981306246091035,0.6832324893771172,0.782119142860991
140,clip-ViT-B-16,5.987416,qda,k-means,0.5706100157445761,0.5863439660067752,0.6761211192027596
141,clip-ViT-B-16,5.987416,qda,knn,0.5733486657236234,0.6467328516321056,0.7504391971338064
142,clip-ViT-B-16,5.987416,naivebayes,k-means,0.5785474143302287,0.5228416456167146,0.570320214416702
143,clip-ViT-B-16,5.987416,naivebayes,knn,0.6089025011563485,0.621002956783959,0.7049767548205167
144,clip-ViT-B-16,6.129032,logistic,k-means,0.6040674969538375,0.6405843075055317,0.7319224758649899
145,clip-ViT-B-16,6.129032,logistic,knn,0.6998721022092832,0.7290528500655975,0.8012867462266454
146,clip-ViT-B-16,6.129032,kneighbours,k-means,0.5497471319111897,0.5692298654761205,0.6627627121242317
147,clip-ViT-B-16,6.129032,kneighbours,knn,0.5963735209256997,0.6740684172394211,0.7729473870875336
148,clip-ViT-B-16,6.129032,qda,k-means,0.5649820182704819,0.5648436429144882,0.6482311040759794
149,clip-ViT-B-16,6.129032,qda,knn,0.5722673066060993,0.6424445358240811,0.745958429561201
150,clip-ViT-B-16,6.129032,naivebayes,k-means,0.5710832291516847,0.5374689146057295,0.6012458429697656
151,clip-ViT-B-16,6.129032,naivebayes,knn,0.6095994718131315,0.6147565059037773,0.6962763986661726
152,clip-ViT-B-16,6.307692,logistic,k-means,0.5902017134797968,0.6180265914742799,0.709349623780079
153,clip-ViT-B-16,6.307692,logistic,knn,0.7050143683491015,0.7201237541365604,0.7899107785927418
