,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
67,clip-ViT-L-14,6.307692,kneighbours,knn,0.6052561757382724,0.6767510622882766,0.7730734335908503
68,clip-ViT-L-14,6.307692,qda,k-means,0.49715847523325407,0.5378213789187178,0.6460204862100511
69,clip-ViT-L-14,6.307692,qda,knn,0.6003995347614866,0.625584992852807,0.7146673033590497
70,clip-ViT-L-14,6.307692,naivebayes,k-means,0.5193107232587135,0.5590084003994595,0.6640511956083953
71,clip-ViT-L-14,6.307692,naivebayes,knn,0.6163754652739942,0.6310481897041258,0.7148521444353643
72,clip-ViT-L-14,6.574194,logistic,k-means,0.5999491948350418,0.633515439895044,0.7248537237952428
73,clip-ViT-L-14,6.574194,logistic,knn,0.7062728251252578,0.7136814897491629,0.7821643525415648
74,clip-ViT-L-14,6.574194,kneighbours,k-means,0.5477499032435564,0.5681528911864341,0.6622768062233929
75,clip-ViT-L-14,6.574194,kneighbours,knn,0.6002083388362732,0.6516477706632203,0.7465811965811966
76,clip-ViT-L-14,6.574194,qda,k-means,0.5120550395135328,0.5513716736180462,0.657200568564375
77,clip-ViT-L-14,6.574194,qda,knn,0.5902279189901738,0.6001292369147624,0.6855259713260544
78,clip-ViT-L-14,6.574194,naivebayes,k-means,0.5626418866814206,0.506922007480076,0.5532828327626886
79,clip-ViT-L-14,6.574194,naivebayes,knn,0.6002177668599782,0.6151677142689302,0.7011632327225727
80,clip-ViT-L-14,7.069421,logistic,k-means,0.555529226912598,0.5918854882609802,0.6908082126750535
81,clip-ViT-L-14,7.069421,logistic,knn,0.6761110248914018,0.6613405392703988,0.7288377416471991
82,clip-ViT-L-14,7.069421,kneighbours,k-means,0.521166269888171,0.5158706847598348,0.5986884820153227
83,clip-ViT-L-14,7.069421,kneighbours,knn,0.5738826341945912,0.5981711018426051,0.6906459636692545
84,clip-ViT-L-14,7.069421,qda,k-means,0.5371227809441083,0.5515283244238187,0.64405936747222
85,clip-ViT-L-14,7.069421,qda,knn,0.5651679218746052,0.5231941099297029,0.5808517230695079
86,clip-ViT-L-14,7.069421,naivebayes,k-means,0.529864012882994,0.5035344338052439,0.5719977041763733
87,clip-ViT-L-14,7.069421,naivebayes,knn,0.5871881431117676,0.5899665158902662,0.6728431709527232
