,extractor,quantile,prior,balanced_accuracy,accuracy,f1
94,clip-ViT-B-16,5.660284,0.5,0.7352624074347153,0.6757915761029196,0.7222772028112787
95,clip-ViT-B-16,5.660284,0.6,0.7277113296635362,0.7853883960915624,0.8512769017830488
96,clip-ViT-B-16,5.660284,0.7,0.6707829538604702,0.7839981201903308,0.8607601327897202
97,clip-ViT-B-16,5.660284,0.8,0.5705250266367745,0.7473222502888249,0.8478301886792453
98,clip-ViT-B-16,5.660284,0.9,0.5118291189589328,0.7167753431631714,0.833674478507854
99,clip-ViT-L-14,5.660284,0.1,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
100,clip-ViT-L-14,5.660284,0.2,0.5151835639754119,0.31159803403238756,0.05944673337257209
101,clip-ViT-L-14,5.660284,0.3,0.594149718893844,0.4291057197125458,0.3337066069428892
102,clip-ViT-L-14,5.660284,0.4,0.6515212518549991,0.5169672404002428,0.493407812050766
103,clip-ViT-L-14,5.660284,0.5,0.7546608558278647,0.7443458849791459,0.8022057932371833
104,clip-ViT-L-14,5.660284,0.6,0.721918094060826,0.7893634102880417,0.8561071204034404
105,clip-ViT-L-14,5.660284,0.7,0.6744924975113799,0.787052810902896,0.8627292579175239
106,clip-ViT-L-14,5.660284,0.8,0.5877856836923973,0.7555464175918855,0.8515082310400609
107,clip-ViT-L-14,5.660284,0.9,0.5059669108999125,0.7133877694883393,0.8320231359812709
108,clip-ViT-B-32,5.758871,0.1,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
109,clip-ViT-B-32,5.758871,0.2,0.5113138845409947,0.30601734907673933,0.044382128508641844
110,clip-ViT-B-32,5.758871,0.3,0.6040076610384768,0.44336094303785073,0.3612340741073636
111,clip-ViT-B-32,5.758871,0.4,0.6888202764970779,0.5842683428302884,0.6004779736926291
112,clip-ViT-B-32,5.758871,0.5,0.7377282481794369,0.6968023654271671,0.7499515535172147
113,clip-ViT-B-32,5.758871,0.6,0.7224508826319485,0.7790244571070513,0.8463517910874508
114,clip-ViT-B-32,5.758871,0.7,0.6354852703072693,0.7715835438328535,0.8564254680172808
115,clip-ViT-B-32,5.758871,0.8,0.5875328591863123,0.7538820027805518,0.8501817748375945
116,clip-ViT-B-32,5.758871,0.9,0.5102481183540232,0.7158354383285359,0.8332069052709008
117,clip-ViT-B-16,5.758871,0.1,0.5,0.28992147878360647,0.0
118,clip-ViT-B-16,5.758871,0.2,0.5073780655274021,0.30045624547181266,0.029343839152289088
119,clip-ViT-B-16,5.758871,0.3,0.5860593998869583,0.41551626231177424,0.3044623092158919
120,clip-ViT-B-16,5.758871,0.4,0.6884523535526471,0.5825256026160684,0.5974776271570441
121,clip-ViT-B-16,5.758871,0.5,0.7474084696559691,0.714778045389571,0.7693063034526451
122,clip-ViT-B-16,5.758871,0.6,0.7252593720655347,0.7861912314711469,0.8525196861028945
123,clip-ViT-B-16,5.758871,0.7,0.6518347261931496,0.7790244571070513,0.8598397814071912
124,clip-ViT-B-16,5.758871,0.8,0.5958932448821057,0.7584052947972351,0.8524303894364175
125,clip-ViT-B-16,5.758871,0.9,0.5084459158626402,0.7148367894417357,0.8327341641302474
126,clip-ViT-L-14,5.758871,0.1,0.5000551526349172,0.2899998041864928,0.00022058620784735434
127,clip-ViT-L-14,5.758871,0.2,0.5087982458765182,0.3024731245961346,0.03484339438604097
128,clip-ViT-L-14,5.758871,0.3,0.583502396746294,0.4119132937790049,0.2971942058830412
129,clip-ViT-L-14,5.758871,0.4,0.7192285212103098,0.6449901114178856,0.6845749678137723
130,clip-ViT-L-14,5.758871,0.5,0.7510670000995958,0.7159725077835869,0.769465503266104
131,clip-ViT-L-14,5.758871,0.6,0.7420213198198377,0.7768509271769567,0.8399977535662136
132,clip-ViT-L-14,5.758871,0.7,0.6964944438041343,0.788247273296912,0.8598605603504134
133,clip-ViT-L-14,5.758871,0.8,0.570187699137899,0.7463040200513031,0.8470546570652815
134,clip-ViT-L-14,5.758871,0.9,0.5144575838000165,0.7180677123107952,0.8342313714654139
135,clip-ViT-B-32,5.865385,0.1,0.5000689407936464,0.29001938553721435,0.00027572515716333963
136,clip-ViT-B-32,5.865385,0.2,0.5262134996120337,0.3275176721690262,0.10118035017927712
137,clip-ViT-B-32,5.865385,0.3,0.5867282345421414,0.41674988740723334,0.30727010558630635
138,clip-ViT-B-32,5.865385,0.4,0.6992277223054327,0.6048091797372183,0.6303392189904022
139,clip-ViT-B-32,5.865385,0.5,0.7289112021307974,0.6711703773326284,0.7186678058668811
